"Sample_Layer","Observed_mean","Observed_sd","Shannon_mean","Shannon_sd","Simpson_mean","Simpson_sd"
"POE1-gc",426.5,55.86,4.05,0.19,0.95,0.01
"POE1-g",753,12.73,4.95,0.27,0.97,0.02
"POE1-R",777,229.1,4.79,0.26,0.97,0
"POE1-B",915.5,57.28,5.14,0.07,0.98,0
"JB-C",245.5,118.09,3.97,0.19,0.94,0.04
"JB-g",687,16.97,4.88,0.21,0.97,0
"JB-DP",58.5,41.72,2.56,0.15,0.84,0.06
"JB-B",348.5,313.25,2.61,1.34,0.76,0.15
"PS-C1",1183,9.9,5.53,0.48,0.98,0.02
"PS-C2",993.5,210.01,5.23,0.34,0.98,0.01
"PS-Br",1279.5,201.53,5.5,0.27,0.99,0
"PS-L",1074,148.49,5.17,0.17,0.96,0.03
"PS-Bottom",1423.5,54.45,5.57,0.05,0.99,0
